AAPL,"Apple Inc.","275.43","$1205.14B","1980","Technology","Computer Manufacturing","https://old.nasdaq.com/symbol/aapl",
MSFT,"Microsoft Corporation","153.63","$1168.52B","1986","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/msft",
GOOG,"Alphabet Inc.","1215.41","$835.33B","2004","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/goog",
YNDX,"Yandex N.V.","35.87","$11.83B","2011","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/yndx",
AMZN,"Amazon.com, Inc.","1820.86","$906.44B","1997","Consumer Services","Catalog/Specialty Distribution","https://old.nasdaq.com/symbol/amzn",
